date,cases,deaths,county,population
2019-01-28,0,0,Santa Clara,1967585.0
2019-01-29,0,0,Alameda,1685886.0
2019-01-29,0,0,Contra Costa,1160099.0
2019-01-29,0,0,San Francisco,892280.0
2019-01-29,0,0,San Mateo,778001.0
2019-01-29,0,0,Santa Clara,1967585.0
2019-01-30,0,0,Alameda,1685886.0
2019-01-30,0,0,Contra Costa,1160099.0
2019-01-30,0,0,San Francisco,892280.0
2019-01-30,0,0,San Mateo,778001.0
2019-01-30,0,0,Santa Clara,1967585.0
2019-01-31,0,0,Alameda,1685886.0
2019-01-31,0,0,Contra Costa,1160099.0
2019-01-31,0,0,San Francisco,892280.0
2019-01-31,0,0,San Mateo,778001.0
2019-01-31,0,0,Santa Clara,1967585.0
2019-02-01,0,0,Alameda,1685886.0
2019-02-01,0,0,Contra Costa,1160099.0
2019-02-01,0,0,San Francisco,892280.0
2019-02-01,0,0,San Mateo,778001.0
2019-02-01,0,0,Santa Clara,1967585.0
2019-02-02,0,0,Alameda,1685886.0
2019-02-02,0,0,Contra Costa,1160099.0
2019-02-02,0,0,San Francisco,892280.0
2019-02-02,0,0,San Mateo,778001.0
2019-02-02,0,0,Santa Clara,1967585.0
2019-02-03,0,0,Alameda,1685886.0
2019-02-03,0,0,Contra Costa,1160099.0
2019-02-03,0,0,San Francisco,892280.0
2019-02-03,0,0,San Mateo,778001.0
2019-02-03,0,0,Santa Clara,1967585.0
2019-02-04,0,0,Alameda,1685886.0
2019-02-04,0,0,Contra Costa,1160099.0
2019-02-04,0,0,San Francisco,892280.0
2019-02-04,0,0,San Mateo,778001.0
2019-02-04,0,0,Santa Clara,1967585.0
2019-02-05,0,0,Alameda,1685886.0
2019-02-05,0,0,Contra Costa,1160099.0
2019-02-05,0,0,San Francisco,892280.0
2019-02-05,0,0,San Mateo,778001.0
2019-02-05,0,0,Santa Clara,1967585.0
2019-02-06,0,0,Alameda,1685886.0
2019-02-06,0,0,Contra Costa,1160099.0
2019-02-06,0,0,San Francisco,892280.0
2019-02-06,0,0,San Mateo,778001.0
2019-02-06,0,0,Santa Clara,1967585.0
2019-02-07,0,0,Alameda,1685886.0
2019-02-07,0,0,Contra Costa,1160099.0
2019-02-07,0,0,San Francisco,892280.0
2019-02-07,0,0,San Mateo,778001.0
2019-02-07,0,0,Santa Clara,1967585.0
2019-02-08,0,0,Alameda,1685886.0
2019-02-08,0,0,Contra Costa,1160099.0
2019-02-08,0,0,San Francisco,892280.0
2019-02-08,0,0,San Mateo,778001.0
2019-02-08,0,0,Santa Clara,1967585.0
2019-02-09,0,0,Alameda,1685886.0
2019-02-09,0,0,Contra Costa,1160099.0
2019-02-09,0,0,San Francisco,892280.0
2019-02-09,0,0,San Mateo,778001.0
2019-02-09,0,0,Santa Clara,1967585.0
2019-02-10,0,0,Alameda,1685886.0
2019-02-10,0,0,Contra Costa,1160099.0
2019-02-10,0,0,San Francisco,892280.0
2019-02-10,0,0,San Mateo,778001.0
2019-02-10,0,0,Santa Clara,1967585.0
2019-02-11,0,0,Alameda,1685886.0
2019-02-11,0,0,Contra Costa,1160099.0
2019-02-11,0,0,San Francisco,892280.0
2019-02-11,0,0,San Mateo,778001.0
2019-02-11,0,0,Santa Clara,1967585.0
2019-02-12,0,0,Alameda,1685886.0
2019-02-12,0,0,Contra Costa,1160099.0
2019-02-12,0,0,San Francisco,892280.0
2019-02-12,0,0,San Mateo,778001.0
2019-02-12,0,0,Santa Clara,1967585.0
2019-02-13,0,0,Alameda,1685886.0
2019-02-13,0,0,Contra Costa,1160099.0
2019-02-13,0,0,San Francisco,892280.0
2019-02-13,0,0,San Mateo,778001.0
2019-02-13,0,0,Santa Clara,1967585.0
2019-02-14,0,0,Alameda,1685886.0
2019-02-14,0,0,Contra Costa,1160099.0
2019-02-14,0,0,San Francisco,892280.0
2019-02-14,0,0,San Mateo,778001.0
2019-02-14,0,0,Santa Clara,1967585.0
2019-02-15,0,0,Alameda,1685886.0
2019-02-15,0,0,Contra Costa,1160099.0
2019-02-15,0,0,San Francisco,892280.0
2019-02-15,0,0,San Mateo,778001.0
2019-02-15,0,0,Santa Clara,1967585.0
2019-02-16,0,0,Alameda,1685886.0
2019-02-16,0,0,Contra Costa,1160099.0
2019-02-16,0,0,San Francisco,892280.0
2019-02-16,0,0,San Mateo,778001.0
2019-02-16,0,0,Santa Clara,1967585.0
2019-02-17,0,0,Alameda,1685886.0
2019-02-17,0,0,Contra Costa,1160099.0
2019-02-17,0,0,San Francisco,892280.0
2019-02-17,0,0,San Mateo,778001.0
2019-02-17,0,0,Santa Clara,1967585.0
2019-02-18,0,0,Alameda,1685886.0
2019-02-18,0,0,Contra Costa,1160099.0
2019-02-18,0,0,San Francisco,892280.0
2019-02-18,0,0,San Mateo,778001.0
2019-02-18,0,0,Santa Clara,1967585.0
2019-02-19,0,0,Alameda,1685886.0
2019-02-19,0,0,Contra Costa,1160099.0
2019-02-19,0,0,San Francisco,892280.0
2019-02-19,0,0,San Mateo,778001.0
2019-02-19,0,0,Santa Clara,1967585.0
2019-02-20,0,0,Alameda,1685886.0
2019-02-20,0,0,Contra Costa,1160099.0
2019-02-20,0,0,San Francisco,892280.0
2019-02-20,0,0,San Mateo,778001.0
2019-02-20,0,0,Santa Clara,1967585.0
2019-02-21,0,0,Alameda,1685886.0
2019-02-21,0,0,Contra Costa,1160099.0
2019-02-21,0,0,San Francisco,892280.0
2019-02-21,0,0,San Mateo,778001.0
2019-02-21,0,0,Santa Clara,1967585.0
2019-02-22,0,0,Alameda,1685886.0
2019-02-22,0,0,Contra Costa,1160099.0
2019-02-22,0,0,San Francisco,892280.0
2019-02-22,0,0,San Mateo,778001.0
2019-02-22,0,0,Santa Clara,1967585.0
2019-02-23,0,0,Alameda,1685886.0
2019-02-23,0,0,Contra Costa,1160099.0
2019-02-23,0,0,San Francisco,892280.0
2019-02-23,0,0,San Mateo,778001.0
2019-02-23,0,0,Santa Clara,1967585.0
2019-02-24,0,0,Alameda,1685886.0
2019-02-24,0,0,Contra Costa,1160099.0
2019-02-24,0,0,San Francisco,892280.0
2019-02-24,0,0,San Mateo,778001.0
2019-02-24,0,0,Santa Clara,1967585.0
2019-02-25,0,0,Alameda,1685886.0
2019-02-25,0,0,Contra Costa,1160099.0
2019-02-25,0,0,San Francisco,892280.0
2019-02-25,0,0,San Mateo,778001.0
2019-02-25,0,0,Santa Clara,1967585.0
2019-02-26,0,0,Alameda,1685886.0
2019-02-26,0,0,Contra Costa,1160099.0
2019-02-26,0,0,San Francisco,892280.0
2019-02-26,0,0,San Mateo,778001.0
2019-02-26,0,0,Santa Clara,1967585.0
2019-02-27,0,0,Alameda,1685886.0
2019-02-27,0,0,Contra Costa,1160099.0
2019-02-27,0,0,San Francisco,892280.0
2019-02-27,0,0,San Mateo,778001.0
2019-02-27,0,0,Santa Clara,1967585.0
2019-02-28,0,0,Alameda,1685886.0
2019-02-28,0,0,Contra Costa,1160099.0
2019-02-28,0,0,San Francisco,892280.0
2019-02-28,0,0,San Mateo,778001.0
2019-02-28,0,0,Santa Clara,1967585.0
